LocID,PerilID,CoverageTypeID,Status,Message
125,WTC,1,fail,vulnerability_id has an unknown id
126,WTC,1,fail,vulnerability_id has an unknown id
127,WTC,1,fail,vulnerability_id has an unknown id
128,WTC,1,fail,vulnerability_id has an unknown id
129,WTC,1,fail,area_peril_id has an unknown id
130,WTC,1,fail,area_peril_id has an unknown id
131,WTC,1,fail,area_peril_id has an unknown id
133,WTC,1,fail,area_peril_id has an unknown id
134,WTC,1,fail,area_peril_id has an unknown id
135,WTC,1,fail,area_peril_id has an unknown id
136,WTC,1,fail,area_peril_id has an unknown id
137,WTC,1,fail,area_peril_id has an unknown id
138,WTC,1,fail,area_peril_id has an unknown id
139,WTC,1,fail,area_peril_id has an unknown id
140,WTC,1,fail,area_peril_id has an unknown id
141,WTC,1,fail,area_peril_id has an unknown id
142,WTC,1,fail,area_peril_id has an unknown id
144,WTC,1,fail,area_peril_id has an unknown id
145,WTC,1,fail,area_peril_id has an unknown id
146,WTC,1,fail,vulnerability_id has an unknown id
147,WTC,1,fail,vulnerability_id has an unknown id
148,WTC,1,fail,vulnerability_id has an unknown id
149,WTC,1,fail,vulnerability_id has an unknown id
150,WTC,1,fail,vulnerability_id has an unknown id
151,WTC,1,fail,area_peril_id has an unknown id
152,WTC,1,fail,vulnerability_id has an unknown id
154,WTC,1,fail,vulnerability_id has an unknown id
155,WTC,1,fail,area_peril_id has an unknown id
156,WTC,1,fail,vulnerability_id has an unknown id
157,WTC,1,fail,vulnerability_id has an unknown id
158,WTC,1,fail,area_peril_id has an unknown id
159,WTC,1,fail,vulnerability_id has an unknown id
160,WTC,1,fail,vulnerability_id has an unknown id
161,WTC,1,fail,area_peril_id has an unknown id
162,WTC,1,fail,area_peril_id has an unknown id
163,WTC,1,fail,area_peril_id has an unknown id
165,WTC,1,fail,area_peril_id has an unknown id
166,WTC,1,fail,area_peril_id has an unknown id
167,WTC,1,fail,vulnerability_id has an unknown id
168,WTC,1,fail,area_peril_id has an unknown id
169,WTC,1,fail,area_peril_id has an unknown id
170,WTC,1,fail,area_peril_id has an unknown id
171,WTC,1,fail,area_peril_id has an unknown id
172,WTC,1,fail,area_peril_id has an unknown id
173,WTC,1,fail,vulnerability_id has an unknown id
